nombre,year,creador,temporadas,capitulos,duracion,network,img,url
FRIENDS,1994-2004,David Crane & Marta Kauffman,10,236,22 min,NBC,https://toptech360.com/wp-content/uploads/2017/07/636296409231028335-601396314_friends-1021x576.jpg,https://en.wikipedia.org/wiki/Friends
90210,2008-2013,,5,114,42 min,The CW,http://img.sharetv.com/shows/standard/90210.jpg,https://en.wikipedia.org/wiki/90210_(TV_series)
The OC,2003-2007,Josh Schwartz,4,92,42 min,Fox,"https://ia.media-imdb.com/images/M/MV5BMWIzZTA0ZDYtOGZiNS00MDRiLWJkNzMtN2RiMzVmMjZjYTJiXkEyXkFqcGdeQXVyODIxOTMwMjk@._V1_UX182_CR0,0,182,268_AL_.jpg",https://en.wikipedia.org/wiki/The_O.C.
Grey's Anatomy,2005-actualmente,Shonda Rhimes,14,315,43 min,ABC,http://static.t13.cl/images/sizes/1200x675/1520608176-greys-anatomy-1.jpg,https://en.wikipedia.org/wiki/Grey%27s_Anatomy
The Vampire Diaries,2009-2017,Julie Plec & Kevin Williamson,8,171,44 min,The CW,http://www.exploregeorgia.org/master/img/imagecache/img-photos-vampire-diaries-cover-1485275999-jpg/vampire-diaries-cover-1485275999-scale-700-700-90.jpg,https://en.wikipedia.org/wiki/The_Vampire_Diaries
Hart of Dixie,2011-2015,Leila Gerstein,4,76,42 min,The CW,https://vignette.wikia.nocookie.net/hartofdixie/images/f/f4/2-new-promo-posters-of-Hart-Of-Dixie-November-Sweeps-Posters-rachel-bilson-26207833-700-884.jpg/revision/latest?cb=20111230163743,https://en.wikipedia.org/wiki/Hart_of_Dixie
Prision Break,2005-2009 / 2017,Paul Scheuring,5,90,42 min,Fox,https://static.next-episode.net/tv-shows-images/huge/prison-break.jpg,https://en.wikipedia.org/wiki/Prison_Break
The Royals,2015-actualmente,Mark Schwahn,4,39,42 min,E!,https://images-na.ssl-images-amazon.com/images/I/91efnXaEq7L._RI_.jpg,https://en.wikipedia.org/wiki/The_Royals_(TV_series)
Gossip Girl,2007-2012,Josh Schwartz,6,121,44 min,The CW,https://static.next-episode.net/tv-shows-images/huge/gossip-girl.jpg,https://en.wikipedia.org/wiki/Gossip_Girl
The Carrie Daries,2013-2014,Amy B. Harris,2,26,60 min,The CW,http://monica-ahuja.com/wp-content/uploads/2017/03/mzl.ufoihcnb.png,https://en.wikipedia.org/wiki/The_Carrie_Diaries_(TV_series)
Modern Family,2009-actualmente,Christopher Lloyd / Steven Levitan,9,208,23 min,ABC,https://www.famousbirthdays.com/group_images/medium/modern-family-show.jpg,https://en.wikipedia.org/wiki/Modern_Family
One Tree Hill,,,,,,,,
Full House,,,,,,,,
El Gran Hotel,,,,,,,,
Riverdale,,,,,,,,
Hellcats,,,,,,,,
Gilmore Girls,,,,,,,,
Reign,,,,,,,,
Young & Hungry,,,,,,,,
Revenge,,,,,,,,